epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1329.25,1.6186,3.40287,2.07417,0,0,0,0,0,8.94321,0,0.000663636,0.000663636,0.000663636
2,2611.56,1.37533,1.53427,1.82572,0,0,0,0,0,4.36489,0,0.0011986,0.0011986,0.0011986
3,4224.79,1.31471,1.20895,1.78357,0,0,0,0,0,0.37118,0,0.00160157,0.00160157,0.00160157
4,6123.65,1.26056,1.07637,1.70808,0,0,0,0,0,0.25351,0,0.001406,0.001406,0.001406
5,7931.11,1.1007,0.90566,1.58349,0,0,0,0,0,0.35317,0,0.001208,0.001208,0.001208
6,9181.9,1.0255,0.82006,1.52279,0,0,0,0,0,0.41812,0,0.00101,0.00101,0.00101
7,11074.3,0.92536,0.71287,1.43423,0,0,0,0,0,0.09856,0,0.000812,0.000812,0.000812
8,12307.9,0.84092,0.63632,1.35205,0,0,0,0,0,2.35591,0,0.000614,0.000614,0.000614
9,13550.8,0.75375,0.54375,1.29212,0,0,0,0,0,0.06909,0,0.000416,0.000416,0.000416
10,14779.9,0.70576,0.48763,1.23155,0,0,0,0,0,0.08423,0,0.000218,0.000218,0.000218
